source_type,keyword,word_count,rank_order
danmaku,进步,330,1
danmaku,无限,327,2
danmaku,中中,249,3
danmaku,抽中,174,4
danmaku,可莉,150,5
danmaku,oi,109,6
danmaku,中奖,18,7
danmaku,手机,11,8
danmaku,tim,9,9
danmaku,好看,9,10
danmaku,相机,9,11
danmaku,原神,9,12
danmaku,需要,7,13
danmaku,我要,7,14
danmaku,一台,6,15
danmaku,哈哈哈哈,6,16
danmaku,功能,5,17
danmaku,代代,5,18
danmaku,想要,5,19
danmaku,华为,4,20
danmaku,pro,4,21
danmaku,蓝色,4,22
danmaku,觉得,4,23
danmaku,知道,4,24
danmaku,抽抽,4,25
danmaku,按钮,4,26
danmaku,喜欢,4,27
danmaku,抽到,4,28
danmaku,一次,4,29
danmaku,专业,3,30
comment,读者,707,1
comment,作者,474,2
comment,体现,473,3
comment,中奖,396,4
comment,抽奖,335,5
comment,想要,307,6
comment,自己,290,7
comment,虽然,263,8
comment,感受,262,9
comment,期待,261,10
comment,结果,256,11
comment,在意,249,12
comment,永不,248,13
comment,有奖,248,14
comment,缺席,247,15
comment,原则,246,16
comment,简单,246,17
comment,同时,246,18
comment,从未,245,19
comment,五大,243,20
comment,之间,241,21
comment,继续,241,22
comment,勇气,239,23
comment,心情,239,24
comment,努力,239,25
comment,四个,238,26
comment,写出,238,27
comment,选中,238,28
comment,毫无保留,237,29
comment,坚持不懈,237,30
