source_type,source_label,phone_feedback_topic,keyword,word_count,rank_order
danmaku,弹幕,全部反馈,相机,9,1
danmaku,弹幕,全部反馈,华为,4,2
danmaku,弹幕,全部反馈,按钮,4,3
danmaku,弹幕,全部反馈,光学,3,4
danmaku,弹幕,全部反馈,安卓,3,5
danmaku,弹幕,全部反馈,手机,2,6
danmaku,弹幕,全部反馈,pro,2,7
danmaku,弹幕,全部反馈,达芬奇,2,8
danmaku,弹幕,全部反馈,好看,2,9
danmaku,弹幕,全部反馈,镜头,2,10
danmaku,弹幕,全部反馈,不会,2,11
danmaku,弹幕,全部反馈,摄像头,2,12
danmaku,弹幕,全部反馈,开始,2,13
danmaku,弹幕,全部反馈,需要,2,14
danmaku,弹幕,全部反馈,风味,2,15
danmaku,弹幕,全部反馈,变焦,2,16
danmaku,弹幕,全部反馈,买台,2,17
danmaku,弹幕,全部反馈,长焦,2,18
danmaku,弹幕,全部反馈,编写,1,19
danmaku,弹幕,全部反馈,永乐,1,20
danmaku,弹幕,全部反馈,大典,1,21
danmaku,弹幕,全部反馈,早有,1,22
danmaku,弹幕,全部反馈,记载,1,23
danmaku,弹幕,全部反馈,专业,1,24
danmaku,弹幕,全部反馈,拍摄,1,25
danmaku,弹幕,全部反馈,为什么,1,26
danmaku,弹幕,全部反馈,说得好,1,27
danmaku,弹幕,全部反馈,我选,1,28
danmaku,弹幕,全部反馈,mate,1,29
danmaku,弹幕,全部反馈,深蓝色,1,30
danmaku,弹幕,价格购买,谈笑,1,1
danmaku,弹幕,价格购买,送走,1,2
danmaku,弹幕,价格购买,一台,1,3
danmaku,弹幕,价格购买,古董,1,4
danmaku,弹幕,价格购买,6plus,1,5
danmaku,弹幕,价格购买,搞错,1,6
danmaku,弹幕,价格购买,标准版,1,7
danmaku,弹幕,价格购买,需要,1,8
danmaku,弹幕,价格购买,17pro,1,9
danmaku,弹幕,价格购买,壳子,1,10
danmaku,弹幕,外观设计,好看,2,1
danmaku,弹幕,外观设计,深蓝色,1,2
danmaku,弹幕,外观设计,钛合金,1,3
danmaku,弹幕,外观设计,pro,1,4
danmaku,弹幕,外观设计,其他,1,5
danmaku,弹幕,外观设计,颜色,1,6
danmaku,弹幕,外观设计,个人感觉,1,7
danmaku,弹幕,外观设计,外观,1,8
danmaku,弹幕,外观设计,之前,1,9
danmaku,弹幕,影像相机,相机,9,1
danmaku,弹幕,影像相机,光学,3,2
danmaku,弹幕,影像相机,达芬奇,2,3
danmaku,弹幕,影像相机,镜头,2,4
danmaku,弹幕,影像相机,摄像头,2,5
danmaku,弹幕,影像相机,按钮,2,6
danmaku,弹幕,影像相机,风味,2,7
danmaku,弹幕,影像相机,变焦,2,8
danmaku,弹幕,影像相机,买台,2,9
danmaku,弹幕,影像相机,长焦,2,10
danmaku,弹幕,影像相机,专业,1,11
danmaku,弹幕,影像相机,拍摄,1,12
danmaku,弹幕,影像相机,为什么,1,13
danmaku,弹幕,影像相机,手机,1,14
danmaku,弹幕,影像相机,肯定,1,15
danmaku,弹幕,影像相机,太好了,1,16
