source_type,source_label,phone_feedback_topic,sentiment_label,sample_count,topic_total_count,ratio
comment,评论,外观设计,正向,21,30,0.7
comment,评论,外观设计,中性,3,30,0.1
comment,评论,外观设计,负向,6,30,0.2
danmaku,弹幕,外观设计,正向,2,4,0.5
danmaku,弹幕,外观设计,中性,2,4,0.5
comment,评论,影像相机,正向,41,58,0.7069
comment,评论,影像相机,中性,5,58,0.0862
comment,评论,影像相机,负向,12,58,0.2069
danmaku,弹幕,影像相机,正向,7,21,0.3333
danmaku,弹幕,影像相机,中性,7,21,0.3333
danmaku,弹幕,影像相机,负向,7,21,0.3333
comment,评论,性能散热,正向,7,10,0.7
comment,评论,性能散热,中性,1,10,0.1
comment,评论,性能散热,负向,2,10,0.2
danmaku,弹幕,性能散热,中性,1,1,1.0
comment,评论,屏幕手感,正向,2,6,0.3333
comment,评论,屏幕手感,负向,4,6,0.6667
comment,评论,续航充电,正向,2,7,0.2857
comment,评论,续航充电,负向,5,7,0.7143
comment,评论,系统功能,正向,1,4,0.25
comment,评论,系统功能,中性,2,4,0.5
comment,评论,系统功能,负向,1,4,0.25
danmaku,弹幕,系统功能,负向,3,3,1.0
comment,评论,价格购买,正向,31,63,0.4921
comment,评论,价格购买,中性,8,63,0.127
comment,评论,价格购买,负向,24,63,0.381
danmaku,弹幕,价格购买,正向,1,4,0.25
danmaku,弹幕,价格购买,负向,3,4,0.75
comment,评论,竞品对比,正向,51,67,0.7612
comment,评论,竞品对比,中性,4,67,0.0597
comment,评论,竞品对比,负向,12,67,0.1791
danmaku,弹幕,竞品对比,正向,5,8,0.625
danmaku,弹幕,竞品对比,中性,2,8,0.25
danmaku,弹幕,竞品对比,负向,1,8,0.125
