source_type,keyword,word_count,rank_order
danmaku,手机,10,1
danmaku,好看,9,2
danmaku,相机,9,3
danmaku,原神,9,4
danmaku,需要,6,5
danmaku,哈哈哈哈,6,6
danmaku,功能,5,7
danmaku,代代,5,8
danmaku,华为,4,9
danmaku,蓝色,4,10
danmaku,一台,4,11
danmaku,知道,4,12
danmaku,按钮,4,13
danmaku,我要,4,14
danmaku,喜欢,4,15
danmaku,专业,3,16
danmaku,pro,3,17
danmaku,ai,3,18
danmaku,bgm,3,19
danmaku,太牛,3,20
danmaku,注意,3,21
danmaku,原来,3,22
danmaku,进步,3,23
danmaku,光学,3,24
danmaku,正好,3,25
danmaku,质感,3,26
danmaku,可爱,3,27
danmaku,这段,3,28
danmaku,无敌,3,29
danmaku,意思,3,30
comment,读者,707,1
comment,作者,474,2
comment,体现,473,3
comment,中奖,396,4
comment,抽奖,335,5
comment,想要,307,6
comment,虽然,263,7
comment,感受,262,8
comment,期待,261,9
comment,结果,256,10
comment,在意,249,11
comment,永不,248,12
comment,有奖,248,13
comment,缺席,247,14
comment,原则,246,15
comment,简单,246,16
comment,同时,246,17
comment,从未,245,18
comment,五大,243,19
comment,之间,241,20
comment,继续,241,21
comment,勇气,239,22
comment,心情,239,23
comment,努力,239,24
comment,四个,238,25
comment,写出,238,26
comment,选中,238,27
comment,毫无保留,237,28
comment,坚持不懈,237,29
comment,敢于,237,30
